CompanyName,Location,CompaniesList,longitude,latitude
Tidel Park,Taramani,"Cisco Systems, Hexaware Technologies, Sify, Tenneco, Trimble",80.2404069,12.9849067
Olympia Tech Park,Guindy,"HP, Verizon, ABN Amro, Visteon, Hewitt, Merril,AIGSS, Force10 Networks, iSharp, RBS, DXC",80.2203646,13.0087095
SRM Tech Park,Potheri,SRM Institute of Science and Technology,80.0450886,12.8250106
Bahwan CyberTek IT Park,Thorappakkam,"Zafin Labs, Beroe Consulting India, Identive Technologies India",80.27847,13.08784
IITM Research Park,Taramani,"Chakra Network Solutions, Saint-Gobain, Centre of Excellence in Wireless Technology (CEWiT), Tata Consultancy Services, Cognizant Technology Solutions India, ARCI, AMADA Soft India, EPMCR, Maveric Systems, ThinkEquity, NMS, TCOE, GoodEarth Maritime, Madras Engineering Industries, Net Access (India), TATA Elxsi, Villgro, XMOS Semiconductor India, Converteam",80.2404069,12.9849067
Ceedeeyes Tech Park,Thorappakkam,TCS,80.27847,13.08784
ETL Infrastructure - Chennai One,Thorappakkam,"TCS, SIEMENS (ATOS), Wipro, Vembu Technologies, GMT, GDES, Sutherland, HCL, Polaris, Ford, Prodapt",80.27847,13.08784
TEK Meadows,"sholinganallur,Taramani","Aviva, EDS, Ford,Flextronics",80.27847,13.08784
Quanta Engineers,Teynampet,Kanbay (Cap Gemini),80.2498455,13.0443237
Ascendas Stage III,Taramani,OFS,80.2404069,12.9849067
ASV suntech Park,Okkiam Thorappakkam,"Cognizant (CTS), Capgemini, Ajuba, US Technology, Cisco",80.27847,13.08784
Marg Digital Zone II,Karappakkam,TCS,80.27847,13.08784
Marg square,Karappakkam,,80.27847,13.08784
Ascendas stage I,Taramani,"Amazon, Siemens, Caterpiller, Inautix, Visual Graphics, Dow Corning",80.2404069,12.9849067
Bascon IT park,T.Nagar,"Scope, Airtel, Irevna",80.2309064,13.0294483
Prince Infocity,Kandanchavadi,"KLA Tencor, D&B Transunion, Maersk Global Service Centres",80.2466598,12.9632927
Prince Info City II,Kandanchavadi,"Proretention Technologies Inida, Prodapt Solutions, Tata Teleservices, Thinksoft Global Services, Atmel R&D India, Episource India",80.2466598,12.9632927
Arihant Technopolis,Perungudi,HCL,80.24094,12.96095
A.R Foundations - Acropolis,149. Dr. radhakrishnan salai Mylapore,"Oracle, Geo logistics, Thomson Reuters, Visual Graphics India/Mckinsey & Company Global F&A SSC",80.27083,13.02917
ETA Ascon - (ETA Tech Park-SEZ),Chennai-SEZ ETA-Navalur,HCL,80.27847,13.08784
Ramaniyam - Baid Hi-Tech Park,Tiruvanmiyur,"Extreme Networks, TnQ Books & Journals",80.2515865,12.9889822
Appaswamy/XS real - The futura,334 OM Road (opp MTL) Sholinganallur,"PayPal, MBit Wireless",80.27847,13.08784
Rayala corporation - Rayala Technopark,Kottivakkam,"Alcatel, e4e, R Systems International Limited, Beroe Consulting India Pvt. Ltd.",80.2615033,12.9705053
Vishranthi homes - stargate,Perungudi,Cognizant,80.24094,12.96095
Citilights freedom/pacifica,Navalur,,80.2265664,12.8446181
Ascendas stage II,Taramani,"Wipro (CITI Technology Services), Lion Bridge, Ingersoll Rand India",80.2404069,12.9849067
RMZ Millenia - Phase II,Taramani,"Flex, Ford, Shell",80.2404069,12.9849067
MPL SILICON TOWERS,Pallikaranai,"Barry Wehmiller, Prizm, Scintel",80.2077692,12.9304748
Shapoorji Pallonji Infocity(SP Infocity),kandanchavadi,"Ericsson Global, Hapag-Lloyd, Amazon, Lister Technologies, Saksoft, HSBC, Citi, Neeyamo Technologies, QBurst, Siemens, Ripit solutions, ViaSat, Ford, Hcl",80.2466598,12.9632927
Prince foundations - Technopark,Semmenchery,,80.2280156,12.9008558
Allied Investments & Housing,Ekattur,,80.27847,13.08784
Best & Crompton,Ambattur,,80.16152,13.09818
Alliance Galleria,Pallavaram,,80.15025,12.96796
